Description,Name,GPS Location,Population within 3000 meters of GPS Location
PS0104041,Lesing'Ita,"{""type"":""Point"",""coordinates"":[35.55,-2.6333333,0]}",2532
PS0104028,Sinonik,"{""type"":""Point"",""coordinates"":[36.5833333,-2.5,0]}",2616
PS0107006,Enguserosambu,"{""type"":""Point"",""coordinates"":[35.487925,-3.2473685,0]}",2619
PS0104017,Ngereyani,"{""type"":""Point"",""coordinates"":[36.8553366,-2.9833333,0]}",2637
PS0107070,Loresho,"{""type"":""Point"",""coordinates"":[35.4901053,-3.2401147,0]}",2664
PS0104004,Engikareti,"{""type"":""Point"",""coordinates"":[36.6833333,-3.0333333,0]}",2691
PS0106073,Lengijape,"{""type"":""Point"",""coordinates"":[36.396486,-3.780741,0]}",2756
PS0107055,Olchanimelok,"{""type"":""Point"",""coordinates"":[35.6611617,-2.9567783,0]}",2859
PS0105158,Simba Vision Academy,"{""type"":""Point"",""coordinates"":[36.88194,-3.10355,0]}",2872
PS0107064,Mdito,"{""type"":""Point"",""coordinates"":[35.67881,-2.22413,0]}",2872
PS0107027,Lorien,"{""type"":""Point"",""coordinates"":[35.63258,-2.09479,0]}",2897
PS0107012,Makao Mapya,"{""type"":""Point"",""coordinates"":[35.48374,-3.2424633,0]}",2915
PS0101041,Losinoni,"{""type"":""Point"",""coordinates"":[36.6981183,-3.0473625,0]}",2917
PS0101074,Oldadai,"{""type"":""Point"",""coordinates"":[36.351353,-3.3633916,0]}",2953
PS0106033,Naalarami,"{""type"":""Point"",""coordinates"":[36.514947,-3.619819,0]}",2961
PS0106024,Mswakini,"{""type"":""Point"",""coordinates"":[36.014866,-3.643355,0]}",2988
PS0107003,Bulati,"{""type"":""Point"",""coordinates"":[35.80312,-2.9873733,0]}",3003
PS0107002,Arash,"{""type"":""Point"",""coordinates"":[35.5,-2.4,0]}",3057
PS0104006,Gelai Lumbwa,"{""type"":""Point"",""coordinates"":[36.1833333,-2.6,0]}",3066
PS0107026,Soitsambu,"{""type"":""Point"",""coordinates"":[35.42301,-1.9089,0]}",3067
PS0107046,Ngoile,"{""type"":""Point"",""coordinates"":[35.480435,-3.0432502,0]}",3106
PS0106029,Ndukusi,"{""type"":""Point"",""coordinates"":[36.605433,-3.679917,0]}",3167
PS0103064,Mikocheni,"{""type"":""Point"",""coordinates"":[35.361203,-3.448669,0]}",3203
PS0107039,Pinyinyi,"{""type"":""Point"",""coordinates"":[35.941817,-2.3111353,0]}",3241
PS0107022,Piyaya,"{""type"":""Point"",""coordinates"":[35.5036533,-2.5808033,0]}",3336
PS0105134,Maasai Vision,"{""type"":""Point"",""coordinates"":[36.9202,-3.10823,0]}",3344
PS0104032,Irng'Ong'Wen,"{""type"":""Point"",""coordinates"":[36.4833333,-2.3833333,0]}",3351
PS0106028,Naitolia,"{""type"":""Point"",""coordinates"":[36.089995,-3.60275,0]}",3353
PS0102086,Murongoine,"{""type"":""Point"",""coordinates"":[36.6338192,-3.4987193,0]}",3398
PS0107059,Mairowa,"{""type"":""Point"",""coordinates"":[35.37003,-1.8701768,0]}",3415
PS0107040,Misigiyo,"{""type"":""Point"",""coordinates"":[36.3610128,-3.20677037,0]}",3516
PS0103103,Manusay,"{""type"":""Point"",""coordinates"":[35.7619916,-3.43391166,0]}",3520
PS0101133,Olemedeye,"{""type"":""Point"",""coordinates"":[36.6075883,-3.5189833,0]}",3521
PS0102131,Losiyo,"{""type"":""Point"",""coordinates"":[36.6908775,-3.5344623,0]}",3547
PS0106009,Lepurko,"{""type"":""Point"",""coordinates"":[36.226719,-3.355327,0]}",3562
PS0106011,Losimingori,"{""type"":""Point"",""coordinates"":[36.181454,-3.420302,0]}",3579
PS0107035,Ng'Arwa,"{""type"":""Point"",""coordinates"":[35.657,-2.05898,0]}",3593
PS0107043,Oldonyowas,"{""type"":""Point"",""coordinates"":[35.568,-2.171431,0]}",3603
PS0106055,Engirgir,"{""type"":""Point"",""coordinates"":[36.2354446,-3.4099563,0]}",3606
PS0107078,Embaasi,"{""type"":""Point"",""coordinates"":[35.9485231,-2.2908531,0]}",3671
PS0107017,Olbalbal,"{""type"":""Point"",""coordinates"":[35.5072716,-2.9834099,0]}",3746
PS0107033,Yasimdito,"{""type"":""Point"",""coordinates"":[35.70162,-2.19591,0]}",3943
PS0104035,Orbomba,"{""type"":""Point"",""coordinates"":[36.6666666,-2.7166666,0]}",3970
PS0107060,Orkiu,"{""type"":""Point"",""coordinates"":[35.6211,-2.0235,0]}",4046
PS0101031,Laroi,"{""type"":""Point"",""coordinates"":[36.626774,-3.4958783,0]}",4059
PS0104020,Tingatinga,"{""type"":""Point"",""coordinates"":[36.9560616,-2.9666666,0]}",4060
PS0101023,Kigongoni,"{""type"":""Point"",""coordinates"":[36.7805231,-3.5378021,0]}",4073
PS0107050,Kirtalo,"{""type"":""Point"",""coordinates"":[35.3631967,-1.961215,0]}",4088
PS0105010,Ilkirimuni,"{""type"":""Point"",""coordinates"":[36.90542,-3.17076,0]}",4123
PS0103023,Kambi Ya Nyoka,"{""type"":""Point"",""coordinates"":[35.5934698,-3.3026898,0]}",4127
PS0105006,Emmanuel,"{""type"":""Point"",""coordinates"":[36.9054,-3.17076,0]}",4127
PS0106061,Sironga,"{""type"":""Point"",""coordinates"":[36.19366726,-3.44579914,0]}",4138
PS0103020,Gyetighi,"{""type"":""Point"",""coordinates"":[35.56407,-3.31776,0]}",4170
PS0106036,Eluwai,"{""type"":""Point"",""coordinates"":[36.364997,-3.222242,0]}",4184
PS0102108,Maweni,"{""type"":""Point"",""coordinates"":[36.7146219,-3.5105042,0]}",4205
PS0106057,Nanja,"{""type"":""Point"",""coordinates"":[36.25368495,-3.39676936,0]}",4234
PS0105059,Ngabobo,"{""type"":""Point"",""coordinates"":[36.89384,-3.10841,0]}",4236
PS0101095,Siti Mwinyi,"{""type"":""Point"",""coordinates"":[36.6442353,-3.5354545,0]}",4292
PS0106041,Mswakini Juu,"{""type"":""Point"",""coordinates"":[36.0555476,-3.674287,0]}",4332
PS0104026,Olchoronyokie,"{""type"":""Point"",""coordinates"":[36.25,-2.9,0]}",4353
PS0105101,Lendoiya,"{""type"":""Point"",""coordinates"":[36.89053,-3.19516,0]}",4378
PS0106039,Nafco,"{""type"":""Point"",""coordinates"":[36.406496,-3.721533,0]}",4396
PS0103034,Mang'Ola Juu,"{""type"":""Point"",""coordinates"":[35.498225,-3.384882,0]}",4475
PS0104002,Elerai,"{""type"":""Point"",""coordinates"":[37.0666666,-2.9166666,0]}",4596
PS0105028,Leguruki,"{""type"":""Point"",""coordinates"":[36.8903258,-3.2534836,0]}",4611
PS0104025,Noondoto,"{""type"":""Point"",""coordinates"":[36.2933333,-2.9833333,0]}",4796
PS0103028,Kitete Kcu,"{""type"":""Point"",""coordinates"":[35.896697,-3.221795,0]}",4870
PS0107018,Oldonyosambu,"{""type"":""Point"",""coordinates"":[35.833735,-2.18217161,0]}",4891
PS0107020,Jema,"{""type"":""Point"",""coordinates"":[35.883705,-2.1372216,0]}",4894
PS0105117,Savana,"{""type"":""Point"",""coordinates"":[36.99273,-3.40918,0]}",4967
PS0107021,Ololosokwan,"{""type"":""Point"",""coordinates"":[35.337576,-1.875433,0]}",4985
PS0106027,Naiti,"{""type"":""Point"",""coordinates"":[36.175669,-3.509631,0]}",5038
PS0105030,Lositeti,"{""type"":""Point"",""coordinates"":[36.9523,-3.47392,0]}",5069
PS0107007,Esere,"{""type"":""Point"",""coordinates"":[35.19104833,-3.297028333,0]}",5071
PS0104005,Gelai Bomba,"{""type"":""Point"",""coordinates"":[36.1,-2.7166666,0]}",5097
PS0101127,Songambele,"{""type"":""Point"",""coordinates"":[36.6996712,-3.5967621,0]}",5111
PS0104010,Kimokouwa,"{""type"":""Point"",""coordinates"":[36.7,-2.6333333,0]}",5157
PS0106052,Lengolwa,"{""type"":""Point"",""coordinates"":[36.398707,-3.755865,0]}",5161
PS0106016,Mbuyuni,"{""type"":""Point"",""coordinates"":[36.2033521,-3.4750231,0]}",5224
PS0106050,Irmorijo,"{""type"":""Point"",""coordinates"":[36.341739,-3.265574,0]}",5265
PS0107010,Kisangiro,"{""type"":""Point"",""coordinates"":[35.7654,-2.13184,0]}",5312
PS0105056,Nasula,"{""type"":""Point"",""coordinates"":[36.86165,-3.21638,0]}",5316
PS0101040,Losikito,"{""type"":""Point"",""coordinates"":[36.6506438,-3.5391888,0]}",5349
PS0101059,Mwandeti,"{""type"":""Point"",""coordinates"":[36.6506438,-3.5391888,0]}",5349
PS0105111,Kaloleni,"{""type"":""Point"",""coordinates"":[37.04104,-3.46107,0]}",5349
PS0103069,Matala,"{""type"":""Point"",""coordinates"":[34.7526718,-3.8779997,0]}",5350
PS0107044,Ndian,"{""type"":""Point"",""coordinates"":[35.278185,-3.191785,0]}",5497
PS0103083,Bondelafaru,"{""type"":""Point"",""coordinates"":[35.876697,-3.222795,0]}",5545
PS0101101,Themi Ya Simba,"{""type"":""Point"",""coordinates"":[36.7864012,-3.583843,0]}",5564
PS0106004,Enguiki,"{""type"":""Point"",""coordinates"":[36.4510241,-3.4198624,0]}",5587
PS0103071,Umbang'W,"{""type"":""Point"",""coordinates"":[35.5336883,-3.6268633,0]}",5599
PS0104043,Mangula,"{""type"":""Point"",""coordinates"":[36.3166666,-2.85,0]}",5634
PS0107061,Mageri,"{""type"":""Point"",""coordinates"":[35.68008,-2.1431,0]}",5640
PS0106008,Lendikinya,"{""type"":""Point"",""coordinates"":[36.354322,-3.343865,0]}",5708
PS0104018,Olmolog,"{""type"":""Point"",""coordinates"":[37.1166666,-2.8666666,0]}",5843
PS0101030,Lamoloki,"{""type"":""Point"",""coordinates"":[36.833073,-3.580214,0]}",5945
PS0103008,Chemchem,"{""type"":""Point"",""coordinates"":[35.7650433,-3.3887733,0]}",5990
PS0105082,Sinai,"{""type"":""Point"",""coordinates"":[36.90686,-3.19396,0]}",6008
PS0106059,Losirwa,"{""type"":""Point"",""coordinates"":[35.9116882,-3.4043305,0]}",6014
PS0107024,Sale,"{""type"":""Point"",""coordinates"":[35.68956,-2.296375,0]}",6028
PS0106022,Moita Kiloriti,"{""type"":""Point"",""coordinates"":[36.569395,-3.47627,0]}",6050
PS0107008,Irkeepusi,"{""type"":""Point"",""coordinates"":[35.6907547,-3.0924892,0]}",6090
PS0107063,Mama Sara,"{""type"":""Point"",""coordinates"":[35.54258,-2.08414,0]}",6248
PS0107037,Mgongo,"{""type"":""Point"",""coordinates"":[35.66865,-2.16098,0]}",6262
PS0105031,Majengo,"{""type"":""Point"",""coordinates"":[37.01328,-3.48708,0]}",6340
PS0107013,Malambo,"{""type"":""Point"",""coordinates"":[35.60194,-2.51623,0]}",6398
PS0107034,Kapenjiro,"{""type"":""Point"",""coordinates"":[35.8906656,-2.9303033,0]}",6438
PS0107001,Alailelai,"{""type"":""Point"",""coordinates"":[35.7000966,-2.9568549,0]}",6464
PS0103032,Lositete,"{""type"":""Point"",""coordinates"":[35.9055433,-3.184095,0]}",6494
PS0101003,Bwawani,"{""type"":""Point"",""coordinates"":[36.8447191,-3.6076467,0]}",6510
PS0104009,Ketumbeine,"{""type"":""Point"",""coordinates"":[36.3,-2.8166666,0]}",6538
PS0106010,Lolkisale,"{""type"":""Point"",""coordinates"":[36.419246,-3.764467,0]}",6624
PS0104001,Elang'Atadapash,"{""type"":""Point"",""coordinates"":[36.2333333,-2.9333333,0]}",6639
PS0105018,Kimosonu,"{""type"":""Point"",""coordinates"":[36.86704,-3.12764,0]}",6643
PS0105051,Msitu Wa Mbogo,"{""type"":""Point"",""coordinates"":[36.88332,-3.52412,0]}",6643
PS0105142,Worseg Vision,"{""type"":""Point"",""coordinates"":[36.86326,-3.21176,0]}",6645
PS0104045,Sokon,"{""type"":""Point"",""coordinates"":[36.216666,-2.933333,0]}",6718
PS0103082,Sabasaba,"{""type"":""Point"",""coordinates"":[35.8664326,-3.2760353,0]}",6722
PS0104012,Lerang'Wa,"{""type"":""Point"",""coordinates"":[37.1833333,-2.8333333,0]}",6776
PS0105060,Ngarenanyuki,"{""type"":""Point"",""coordinates"":[36.8403,-3.14979,0]}",6779
PS0104027,Ngoswak,"{""type"":""Point"",""coordinates"":[36.4833333,-2.5,0]}",6898
PS0103058,Dirangw,"{""type"":""Point"",""coordinates"":[35.8436467,-3.2940217,0]}",6904
PS0106018,Meserani Juu,"{""type"":""Point"",""coordinates"":[36.478776,-3.437517,0]}",6906
PS0103022,Kambi Ya Faru,"{""type"":""Point"",""coordinates"":[35.6133899,-3.6223766,0]}",6957
PS0105007,Engatani,"{""type"":""Point"",""coordinates"":[36.99998,-3.50994,0]}",7087
PS0103005,Buger,"{""type"":""Point"",""coordinates"":[35.6204994,-3.6278096,0]}",7132
PS0103060,Magesho,"{""type"":""Point"",""coordinates"":[35.645661,-3.427233,0]}",7180
PS0106047,Eunoto,"{""type"":""Point"",""coordinates"":[35.7016382,-3.537884,0]}",7193
PS0101132,Namelok,"{""type"":""Point"",""coordinates"":[36.7460733,-3.1347033,0]}",7198
PS0105023,Kisimiri Juu,"{""type"":""Point"",""coordinates"":[36.77199,-3.1463,0]}",7238
PS0104007,Iloirienito,"{""type"":""Point"",""coordinates"":[36.1833333,-2.8666666,0]}",7250
PS0104024,Irkaswa,"{""type"":""Point"",""coordinates"":[37.2042217,-2.8666666,0]}",7318
