Description,Name,GPS Location,Population within 3000 meters of GPS Location
PS0605038,Kiyange,"{""type"":""Point"",""coordinates"":[29.8712691,-4.4381547,0]}",21551
PS0606040,Mugunzu,"{""type"":""Point"",""coordinates"":[30.6006451,-3.4996128,0]}",21583
PS0607044,Kataraguza,"{""type"":""Point"",""coordinates"":[29.85393516,-4.92638332,0]}",21687
PS0607072,Mikamba,"{""type"":""Point"",""coordinates"":[29.7930145,-5.3327142,0]}",21763
PS0603012,Chankele,"{""type"":""Point"",""coordinates"":[29.68475182,-4.70183368,0]}",21837
PS0602046,Mabamba,"{""type"":""Point"",""coordinates"":[30.4954059,-3.5968992,0]}",21909
PS0606025,Kiduduye,"{""type"":""Point"",""coordinates"":[30.58387601,-3.50383401,0]}",22129
PS0606020,Kasuga,"{""type"":""Point"",""coordinates"":[30.9066201,-3.2578584,0]}",22250
PS0606038,Marumba,"{""type"":""Point"",""coordinates"":[30.9062704,-3.2581073,0]}",22294
PS0607054,Lugongo,"{""type"":""Point"",""coordinates"":[29.8249637,-5.1179635,0]}",22392
PS0603052,Mlama,"{""type"":""Point"",""coordinates"":[29.68639173,-4.70565494,0]}",22435
PS0602086,Kukinama,"{""type"":""Point"",""coordinates"":[30.480934,-3.769351,0]}",22444
PS0601068,Rungwe Mpya,"{""type"":""Point"",""coordinates"":[30.209222,-4.7864091,0]}",22469
PS0601070,Sabaga,"{""type"":""Point"",""coordinates"":[30.2095347,-4.7687381,0]}",22507
PS0602038,Kumnazi,"{""type"":""Point"",""coordinates"":[30.5584924,-3.61932,0]}",22527
PS0601056,Nyamgongo,"{""type"":""Point"",""coordinates"":[30.2098614,-4.7858555,0]}",22584
PS0602014,Kaharawe,"{""type"":""Point"",""coordinates"":[30.6135515,-3.6082607,0]}",22651
PS0607084,Muyobozi,"{""type"":""Point"",""coordinates"":[29.80692679,-5.08217808,0]}",22690
PS0606034,Kumuhunga,"{""type"":""Point"",""coordinates"":[30.8706638,-3.1366637,0]}",22986
PS0606052,Nyesato,"{""type"":""Point"",""coordinates"":[30.8867465,-3.0930971,0]}",23339
PS0606006,Gwarama,"{""type"":""Point"",""coordinates"":[30.8865725,-3.0932087,0]}",23416
PS0602080,Shunga,"{""type"":""Point"",""coordinates"":[30.6803147,-3.5960403,0]}",23473
PS0605055,Munyika,"{""type"":""Point"",""coordinates"":[30.0361189,-4.31440754,0]}",23586
PS0601046,Mwali,"{""type"":""Point"",""coordinates"":[30.3217037,-4.3183544,0]}",23608
PS0602054,Mukabuye,"{""type"":""Point"",""coordinates"":[30.589772,-3.6862546,0]}",23682
PS0606032,Kivuruga,"{""type"":""Point"",""coordinates"":[30.8762071,-3.1254589,0]}",23829
PS0606011,Kabare,"{""type"":""Point"",""coordinates"":[30.8761013,-3.1270651,0]}",23935
PS0602033,Kizazi,"{""type"":""Point"",""coordinates"":[30.4895457,-3.6632745,0]}",24019
PS0606041,Muhange,"{""type"":""Point"",""coordinates"":[30.864819,-3.1608354,0]}",24134
PS0603016,Kagina,"{""type"":""Point"",""coordinates"":[29.6461499,-4.76364363,0]}",24323
PS0602077,Rugongwe,"{""type"":""Point"",""coordinates"":[30.5337559,-3.7935421,0]}",24354
PS0602027,Kigaga,"{""type"":""Point"",""coordinates"":[30.5328924,-3.7940659,0]}",24354
PS0603070,Nyakayaga,"{""type"":""Point"",""coordinates"":[29.77170633,-4.51611325,0]}",24458
PS0602018,Kasana,"{""type"":""Point"",""coordinates"":[30.48352273,-3.65748702,0]}",24514
PS0606013,Kagondo,"{""type"":""Point"",""coordinates"":[30.8639012,-3.1613591,0]}",24625
PS0605020,Kavomo,"{""type"":""Point"",""coordinates"":[29.9506608,-4.4547758,0]}",24628
PS0608026,Malembo,"{""type"":""Point"",""coordinates"":[30.22625627,-4.56677734,0]}",24710
PS0608035,Muhunga,"{""type"":""Point"",""coordinates"":[30.0305156,-4.62431707,0]}",24773
PS0608056,Ruhita,"{""type"":""Point"",""coordinates"":[30.21032676,-4.56134323,0]}",24832
PS0601054,Nyakelela,"{""type"":""Point"",""coordinates"":[30.3391879,-4.3123143,0]}",24861
PS0603069,Nyabusho,"{""type"":""Point"",""coordinates"":[29.63923512,-4.62489245,0]}",25135
PS0607078,Msebei,"{""type"":""Point"",""coordinates"":[30.2913734,-4.998308,0]}",25172
PS0605041,Lulengera,"{""type"":""Point"",""coordinates"":[29.9736625,-4.38940303,0]}",25270
PS0605008,Bulimanyi,"{""type"":""Point"",""coordinates"":[29.9734842,-4.3894262,0]}",25341
PS0603064,Mwitanga,"{""type"":""Point"",""coordinates"":[29.64651419,-4.59956864,0]}",25543
PS0603005,Bubango,"{""type"":""Point"",""coordinates"":[29.6699929,-4.7215131,0]}",25563
PS0603062,Mwamgongo,"{""type"":""Point"",""coordinates"":[29.64008882,-4.62493836,0]}",25575
PS0603102,Gwamanga,"{""type"":""Point"",""coordinates"":[29.6702492,-4.7215714,0]}",25629
PS0605018,Kasumo,"{""type"":""Point"",""coordinates"":[30.1054168,-4.3702216,0]}",25853
PS0605040,Lemba,"{""type"":""Point"",""coordinates"":[30.1050202,-4.3706115,0]}",25853
PS0603044,Mayange,"{""type"":""Point"",""coordinates"":[29.8998471,-4.85363099,0]}",26032
PS0605045,Migongo,"{""type"":""Point"",""coordinates"":[30.0687981,-4.2721528,0]}",26063
PS0602006,Busagara,"{""type"":""Point"",""coordinates"":[30.6436243,-3.8034104,0]}",26069
PS0603083,Rusha,"{""type"":""Point"",""coordinates"":[29.7526564,-4.538753,0]}",26157
PS0602021,Kayemba,"{""type"":""Point"",""coordinates"":[30.6407258,-3.6310575,0]}",26519
PS0605054,Munyegera,"{""type"":""Point"",""coordinates"":[30.03561474,-4.45240125,0]}",26642
PS0607004,Basanza,"{""type"":""Point"",""coordinates"":[30.2924599,-4.9773368,0]}",26653
PS0605007,Bulambila,"{""type"":""Point"",""coordinates"":[29.9793869,-4.4812714,0]}",26678
PS0605088,Songambele,"{""type"":""Point"",""coordinates"":[29.9793301,-4.4817327,0]}",26678
PS0605011,Chagwe,"{""type"":""Point"",""coordinates"":[29.8346105,-4.5649346,0]}",26772
PS0601022,Kisuma,"{""type"":""Point"",""coordinates"":[30.2504226,-4.5084011,0]}",26948
PS0607094,Nyanganga,"{""type"":""Point"",""coordinates"":[30.0229823,-4.9389402,0]}",26949
PS0605030,Kilelema,"{""type"":""Point"",""coordinates"":[30.1190008,-4.1595615,0]}",27078
PS0605037,Kitunda,"{""type"":""Point"",""coordinates"":[29.8763207,-4.6018527,0]}",27237
PS0607032,Kampande,"{""type"":""Point"",""coordinates"":[29.8152166,-5.0983948,0]}",27335
PS0603047,Mgogo,"{""type"":""Point"",""coordinates"":[29.7642102,-4.6819427,0]}",27425
PS0607092,Nyamgeni,"{""type"":""Point"",""coordinates"":[30.3018964,-4.9775177,0]}",27465
PS0607085,Mwakizega,"{""type"":""Point"",""coordinates"":[29.81527985,-5.09875865,0]}",27476
PS0607108,Sunzu,"{""type"":""Point"",""coordinates"":[30.2899114,-4.9867961,0]}",27479
PS0601061,Nyankole,"{""type"":""Point"",""coordinates"":[30.2855706,-4.6676261,0]}",27518
PS0601033,Lalambe,"{""type"":""Point"",""coordinates"":[30.2551971,-4.6368817,0]}",27802
PS0605048,Mlangilizi,"{""type"":""Point"",""coordinates"":[30.11896318,-4.1545598,0]}",28116
PS0605039,Kumsenga,"{""type"":""Point"",""coordinates"":[29.8759267,-4.6034225,0]}",28233
PS0601075,Zeze,"{""type"":""Point"",""coordinates"":[30.0610186,-4.9057158,0]}",28323
PS0601026,Kitibitibi,"{""type"":""Point"",""coordinates"":[30.0475419,-4.908779,0]}",28330
PS0603071,Nyamagana,"{""type"":""Point"",""coordinates"":[29.74973865,-4.56717552,0]}",28460
PS0605015,Kajana,"{""type"":""Point"",""coordinates"":[30.14956717,-4.3323985,0]}",28842
PS0603081,Rugomelo,"{""type"":""Point"",""coordinates"":[29.75523076,-4.50437133,0]}",29046
PS0603093,Kasange,"{""type"":""Point"",""coordinates"":[29.75120051,-4.5482839,0]}",29171
PS0606048,Nyamiyaga,"{""type"":""Point"",""coordinates"":[30.8570621,-2.9840496,0]}",29276
PS0602062,Nyabitaka,"{""type"":""Point"",""coordinates"":[30.4972223,-3.6223117,0]}",29570
PS0606028,Kihogazi,"{""type"":""Point"",""coordinates"":[30.95327304,-3.28926892,0]}",29648
PS0603032,Kitelama,"{""type"":""Point"",""coordinates"":[29.7621737,-4.5429168,0]}",29827
PS0605058,Murunyenyi,"{""type"":""Point"",""coordinates"":[30.11248139,-4.2585288,0]}",29854
PS0606055,Rusenga,"{""type"":""Point"",""coordinates"":[30.75988439,-3.36069421,0]}",29962
PS0606045,Nyabibuye,"{""type"":""Point"",""coordinates"":[30.8562462,-2.9842269,0]}",30092
PS0603096,Kimbwela,"{""type"":""Point"",""coordinates"":[29.7595258,-4.988382,0]}",30171
PS0603060,Mukigo,"{""type"":""Point"",""coordinates"":[29.75561653,-4.50327598,0]}",30245
PS0602057,Mushenyi,"{""type"":""Point"",""coordinates"":[30.49689431,-3.62091102,0]}",30317
PS0601013,Kakirungu,"{""type"":""Point"",""coordinates"":[30.0355635,-4.8406521,0]}",30384
PS0605003,Bigina,"{""type"":""Point"",""coordinates"":[29.8811955,-4.6547907,0]}",30488
PS0603100,Nyamoli,"{""type"":""Point"",""coordinates"":[29.7750509,-4.962036,0]}",30513
PS0603041,Matendo,"{""type"":""Point"",""coordinates"":[29.9015736,-4.8588001,0]}",30545
PS0608049,Nyangwa,"{""type"":""Point"",""coordinates"":[30.19603761,-4.62269173,0]}",30546
PS0606001,Bukirilo,"{""type"":""Point"",""coordinates"":[30.7459251,-3.3680923,0]}",30687
PS0606004,Churazo,"{""type"":""Point"",""coordinates"":[30.90090615,-2.95485015,0]}",30695
PS0602076,Rubirizi,"{""type"":""Point"",""coordinates"":[30.6824878,-3.6553792,0]}",30704
PS0601051,Nyakasanda,"{""type"":""Point"",""coordinates"":[30.350245,-4.3912969,0]}",30847
PS0601064,Nyarugusu,"{""type"":""Point"",""coordinates"":[30.1291047,-4.2505045,0]}",30857
PS0601015,Kalela,"{""type"":""Point"",""coordinates"":[29.930699,-4.8134114,0]}",30884
PS0605050,Mugera,"{""type"":""Point"",""coordinates"":[30.1312302,-4.2509344,0]}",30902
PS0602079,Rusohoko,"{""type"":""Point"",""coordinates"":[30.6824503,-3.6552529,0]}",30910
PS0601030,Kunde,"{""type"":""Point"",""coordinates"":[29.929342,-4.8131541,0]}",30939
PS0606050,Nyanenge,"{""type"":""Point"",""coordinates"":[30.85128,-3.1647139,0]}",31062
PS0603079,Nyete,"{""type"":""Point"",""coordinates"":[29.71653218,-4.69122002,0]}",31095
PS0602075,Rubanga,"{""type"":""Point"",""coordinates"":[30.7079319,-3.5529658,0]}",31123
PS0606051,Nyanzige,"{""type"":""Point"",""coordinates"":[30.92009966,-2.9395044,0]}",31187
PS0601053,Nyakayaga,"{""type"":""Point"",""coordinates"":[29.9348888,-4.8206081,0]}",31225
PS0602026,Kifura,"{""type"":""Point"",""coordinates"":[30.63713054,-3.82476175,0]}",31350
PS0603089,Zashe,"{""type"":""Point"",""coordinates"":[29.6553938,-4.498212,0]}",31359
PS0602053,Moyowosi,"{""type"":""Point"",""coordinates"":[30.64307554,-3.82706673,0]}",31376
PS0603051,Mkongoro,"{""type"":""Point"",""coordinates"":[29.7133388,-4.6907639,0]}",31382
PS0605027,Kigege,"{""type"":""Point"",""coordinates"":[30.02194393,-4.31462727,0]}",31387
PS0605081,Nyaruboza,"{""type"":""Point"",""coordinates"":[29.7968565,-4.5557159,0]}",31486
PS0608020,Kigondo,"{""type"":""Point"",""coordinates"":[30.1811248,-4.5942333,0]}",31515
PS0606033,Kiyobera,"{""type"":""Point"",""coordinates"":[30.93586428,-3.31619391,0]}",31614
PS0601058,Nyamiyaga,"{""type"":""Point"",""coordinates"":[30.3065283,-4.5699609,0]}",31660
PS0605062,Muyovozi,"{""type"":""Point"",""coordinates"":[30.03950588,-4.33927097,0]}",31712
PS0601025,Kitema,"{""type"":""Point"",""coordinates"":[30.2889435,-4.5730011,0]}",31720
PS0603077,Nyarubanda,"{""type"":""Point"",""coordinates"":[29.7538839,-4.5622984,0]}",31747
PS0605077,Nyangamba,"{""type"":""Point"",""coordinates"":[29.8712033,-4.6231652,0]}",31800
PS0603011,Chankabwimba,"{""type"":""Point"",""coordinates"":[29.72427287,-4.78580072,0]}",31837
PS0606027,Kigarama,"{""type"":""Point"",""coordinates"":[30.9026221,-3.3308871,0]}",31953
PS0603042,Matumaini,"{""type"":""Point"",""coordinates"":[29.71137507,-4.68998002,0]}",32065
PS0601066,Nyenge,"{""type"":""Point"",""coordinates"":[30.2666203,-4.6212661,0]}",32145
PS0602019,Kasebuzi,"{""type"":""Point"",""coordinates"":[30.6817332,-3.6271248,0]}",32503
PS0603056,Mshikamano,"{""type"":""Point"",""coordinates"":[29.7672521,-4.6700785,0]}",32626
PS0603049,Mkabogo,"{""type"":""Point"",""coordinates"":[29.7672385,-4.66987573,0]}",32719
PS0608013,Karunga,"{""type"":""Point"",""coordinates"":[30.02708739,-4.51241075,0]}",32745
PS0603050,Mkapa,"{""type"":""Point"",""coordinates"":[29.70934125,-4.67521933,0]}",32862
PS0605082,Nyarugano,"{""type"":""Point"",""coordinates"":[29.8379178,-4.4287139,0]}",32900
PS0605071,Nyamilambo,"{""type"":""Point"",""coordinates"":[29.8981328,-4.3719044,0]}",32930
PS0605025,Kibwigwa,"{""type"":""Point"",""coordinates"":[29.8379683,-4.4287246,0]}",32944
PS0605044,Mgogo,"{""type"":""Point"",""coordinates"":[30.1908944,-4.2567642,0]}",33084
PS0605019,Katundu,"{""type"":""Point"",""coordinates"":[30.1947317,-4.25618051,0]}",33109
PS0603006,Bugamba,"{""type"":""Point"",""coordinates"":[29.64619583,-4.60332864,0]}",33681
PS0601028,Kumkambati,"{""type"":""Point"",""coordinates"":[30.4970099,-4.2042679,0]}",33693
PS0601050,Nyachenda,"{""type"":""Point"",""coordinates"":[30.3482654,-4.3867615,0]}",33913
PS0605046,Milenda,"{""type"":""Point"",""coordinates"":[29.8396357,-4.4223077,0]}",33934
PS0605049,Mubanga,"{""type"":""Point"",""coordinates"":[29.8202648,-4.5655459,0]}",33956
PS0606007,Ilabiro,"{""type"":""Point"",""coordinates"":[30.6712145,-3.463026,0]}",33968
PS0605063,Mwayaya,"{""type"":""Point"",""coordinates"":[29.8374591,-4.4760676,0]}",33988
PS0605035,Kisovu,"{""type"":""Point"",""coordinates"":[29.868918,-4.6332502,0]}",34076
PS0606022,Katanga,"{""type"":""Point"",""coordinates"":[30.67861556,-3.45534403,0]}",34112
PS0606012,Kabingo,"{""type"":""Point"",""coordinates"":[30.67825372,-3.455046,0]}",34112
PS0607066,Mapinduzi,"{""type"":""Point"",""coordinates"":[29.837971,-4.89699,0]}",34155
PS0605060,Muvumu,"{""type"":""Point"",""coordinates"":[29.8322225,-4.6574893,0]}",34233
PS0605042,Manyovu,"{""type"":""Point"",""coordinates"":[29.8371594,-4.4758499,0]}",34256
PS0603023,Kasaba,"{""type"":""Point"",""coordinates"":[29.81633606,-4.89512608,0]}",34272
PS0607106,Songambele,"{""type"":""Point"",""coordinates"":[29.8377828,-5.2012643,0]}",34298
PS0607075,Mlela,"{""type"":""Point"",""coordinates"":[29.837992,-4.896825,0]}",34303
PS0607111,Tanganyika,"{""type"":""Point"",""coordinates"":[29.8376807,-5.2011945,0]}",34391
PS0602058,Muyaga,"{""type"":""Point"",""coordinates"":[30.68200984,-3.62930656,0]}",34446
PS0605032,Kinazi,"{""type"":""Point"",""coordinates"":[29.8318875,-4.6580609,0]}",34472
PS0607016,Ilagala,"{""type"":""Point"",""coordinates"":[29.8374073,-5.20094,0]}",34532
PS0603038,Mahembe,"{""type"":""Point"",""coordinates"":[29.73119632,-4.81675239,0]}",34594
PS0603024,Kidahwe,"{""type"":""Point"",""coordinates"":[29.82342863,-4.87702885,0]}",34615
PS0605083,Ruhuba,"{""type"":""Point"",""coordinates"":[29.8122611,-4.5305527,0]}",34740
PS0605051,Muhinda,"{""type"":""Point"",""coordinates"":[29.812261,-4.5305529,0]}",34740
PS0601017,Kasangezi,"{""type"":""Point"",""coordinates"":[30.0363409,-4.7813021,0]}",34749
PS0603053,Mlati,"{""type"":""Point"",""coordinates"":[29.65546772,-4.76116939,0]}",34764
PS0602017,Kasaka,"{""type"":""Point"",""coordinates"":[30.5950815,-3.7409592,0]}",34788
PS0602072,Nyaruyoba 'A',"{""type"":""Point"",""coordinates"":[30.5948969,-3.7409263,0]}",34788
PS0602050,Mgazimmoja,"{""type"":""Point"",""coordinates"":[30.5964537,-3.7486095,0]}",34803
PS0602073,Nyaruyoba 'B,"{""type"":""Point"",""coordinates"":[30.59684238,-3.74871977,0]}",34803
PS0605010,Bweranka,"{""type"":""Point"",""coordinates"":[29.8956028,-4.3929885,0]}",34872
PS0606031,Kinyinya,"{""type"":""Point"",""coordinates"":[30.92040853,-2.946649,0]}",34930
PS0605022,Kazamwendo,"{""type"":""Point"",""coordinates"":[30.0792015,-4.2457805,0]}",34978
PS0608023,Kisito,"{""type"":""Point"",""coordinates"":[30.00425443,-4.66592618,0]}",35145
PS0601016,Kamembe,"{""type"":""Point"",""coordinates"":[30.0360992,-4.7703617,0]}",35267
PS0607020,Kabuyange,"{""type"":""Point"",""coordinates"":[29.8457432,-5.1925862,0]}",35318
PS0605023,Kibande,"{""type"":""Point"",""coordinates"":[29.8986752,-4.3804492,0]}",35401
PS0607102,Sagara,"{""type"":""Point"",""coordinates"":[31.0532993,-5.14296477,0]}",35411
PS0603014,Juhudi,"{""type"":""Point"",""coordinates"":[29.8345226,-4.8871409,0]}",35574
PS0606009,Itumbiko,"{""type"":""Point"",""coordinates"":[30.97611438,-3.28991298,0]}",35604
PS0607018,Itebula,"{""type"":""Point"",""coordinates"":[31.05322928,-5.14288437,0]}",35677
PS0602056,Mulange,"{""type"":""Point"",""coordinates"":[30.500391,-3.7918271,0]}",35844
PS0603027,Kilembela,"{""type"":""Point"",""coordinates"":[29.66123407,-4.75439732,0]}",35880
PS0606053,Rugenge,"{""type"":""Point"",""coordinates"":[30.9763457,-3.28950081,0]}",35942
PS0602051,Mikonko,"{""type"":""Point"",""coordinates"":[30.5006167,-3.7913043,0]}",35962
PS0606002,Cherabulo,"{""type"":""Point"",""coordinates"":[30.9650027,-3.28056903,0]}",35967
PS0608038,Mwanga B,"{""type"":""Point"",""coordinates"":[30.1006048,-4.4525879,0]}",35969
PS0606030,Kinonko,"{""type"":""Point"",""coordinates"":[30.96548205,-3.28131611,0]}",36003
PS0606056,Shuhudia,"{""type"":""Point"",""coordinates"":[30.96568194,-3.28130959,0]}",36086
PS0602012,Kagezi,"{""type"":""Point"",""coordinates"":[30.50068872,-3.7912057,0]}",36108
PS0603026,Kiganza,"{""type"":""Point"",""coordinates"":[29.67047523,-4.78117209,0]}",36210
PS0607059,Machazo,"{""type"":""Point"",""coordinates"":[29.8250388,-5.1787411,0]}",36281
PS0603078,Nyerere,"{""type"":""Point"",""coordinates"":[29.693056,-4.7475722,0]}",36296
PS0608004,Bwezangele,"{""type"":""Point"",""coordinates"":[30.10465308,-4.43397355,0]}",36558
PS0603085,Samilo,"{""type"":""Point"",""coordinates"":[29.738017,-4.81024076,0]}",36787
PS0605004,Biharu,"{""type"":""Point"",""coordinates"":[30.01824455,-4.33460419,0]}",36971
PS0608037,Murufiti,"{""type"":""Point"",""coordinates"":[30.2180405,-4.6193358,0]}",36980
PS0608045,Nyabuyange,"{""type"":""Point"",""coordinates"":[30.2183438,-4.6325166,0]}",37039
PS0601052,Nyakatoke,"{""type"":""Point"",""coordinates"":[30.2805835,-4.4907506,0]}",37258
PS0601014,Kakungwe,"{""type"":""Point"",""coordinates"":[30.0372541,-4.8055907,0]}",37287
PS0605072,Nyaminkunga,"{""type"":""Point"",""coordinates"":[30.0587281,-4.3253141,0]}",37317
PS0605009,Bwawani,"{""type"":""Point"",""coordinates"":[29.79029208,-4.47549278,0]}",37364
PS0606036,Maendeleo,"{""type"":""Point"",""coordinates"":[30.9685737,-3.28197114,0]}",37409
PS0601009,Imanga,"{""type"":""Point"",""coordinates"":[30.0844596,-4.6676753,0]}",37461
PS0606039,Muganza,"{""type"":""Point"",""coordinates"":[30.9687437,-3.2816867,0]}",37548
PS0608024,Kumkata,"{""type"":""Point"",""coordinates"":[30.1123904,-4.44830309,0]}",37560
PS0603054,Mlimani,"{""type"":""Point"",""coordinates"":[29.78289351,-4.82889161,0]}",37700
PS0603003,Bigere,"{""type"":""Point"",""coordinates"":[29.78700733,-4.81754494,0]}",37700
PS0603075,Nyangova,"{""type"":""Point"",""coordinates"":[29.7976641,-4.8331433,0]}",37720
PS0603067,Nkungwe,"{""type"":""Point"",""coordinates"":[29.80304208,-4.8226019,0]}",37786
PS0602013,Kahama,"{""type"":""Point"",""coordinates"":[30.664882,-3.6368116,0]}",37787
PS0601048,Nkundutsi,"{""type"":""Point"",""coordinates"":[30.0436855,-4.6859515,0]}",37801
PS0608034,Muganza,"{""type"":""Point"",""coordinates"":[30.0626243,-4.484132,0]}",37884
PS0601029,Kumlama,"{""type"":""Point"",""coordinates"":[30.0439881,-4.6854953,0]}",37937
PS0603084,Rusimbi,"{""type"":""Point"",""coordinates"":[29.7256394,-4.6182425,0]}",38094
PS0603057,Msimba,"{""type"":""Point"",""coordinates"":[29.69651244,-4.8496207,0]}",38304
PS0601027,Kiyungwe,"{""type"":""Point"",""coordinates"":[30.3384343,-3.8883196,0]}",38367
PS0608027,Marumba,"{""type"":""Point"",""coordinates"":[29.98759823,-4.67200734,0]}",38431
PS0603045,Mgaraganza,"{""type"":""Point"",""coordinates"":[29.64869566,-4.77106537,0]}",38548
PS0605001,Angaza,"{""type"":""Point"",""coordinates"":[29.80136018,-4.65276892,0]}",38654
PS0605075,Nyamwashi,"{""type"":""Point"",""coordinates"":[29.8230979,-4.3940311,0]}",38705
PS0606014,Kakonko,"{""type"":""Point"",""coordinates"":[30.96877599,-3.27565953,0]}",38738
PS0605031,Kimara,"{""type"":""Point"",""coordinates"":[29.8263724,-4.6645189,0]}",38759
PS0605017,Kamanga,"{""type"":""Point"",""coordinates"":[29.8263724,-4.6645189,0]}",38759
PS0605033,Kirungu,"{""type"":""Point"",""coordinates"":[29.8734252,-4.6455526,0]}",38807
PS0605024,Kibila,"{""type"":""Point"",""coordinates"":[29.8186969,-4.4842932,0]}",38858
PS0603020,Kalinzi,"{""type"":""Point"",""coordinates"":[29.7270063,-4.6167414,0]}",39040
PS0605026,Kigaraga,"{""type"":""Point"",""coordinates"":[29.792455,-4.537351,0]}",39080
PS0605085,Rusaba- 'B',"{""type"":""Point"",""coordinates"":[29.8017126,-4.6529026,0]}",39193
PS0603001,Amani,"{""type"":""Point"",""coordinates"":[29.727254,-4.6168051,0]}",39289
PS0603033,Kiyenga,"{""type"":""Point"",""coordinates"":[29.7697291,-4.6571225,0]}",39415
PS0605086,Rwiche,"{""type"":""Point"",""coordinates"":[29.9195665,-4.56377527,0]}",39496
PS0605021,Kavumu,"{""type"":""Point"",""coordinates"":[29.7950803,-4.6211836,0]}",39518
PS0608030,Msivyi,"{""type"":""Point"",""coordinates"":[30.0527664,-4.4759741,0]}",39612
PS0605036,Kitambuka,"{""type"":""Point"",""coordinates"":[29.8226561,-4.39597262,0]}",39683
PS0603004,Bitale,"{""type"":""Point"",""coordinates"":[29.7020771,-4.7484789,0]}",39701
PS0608063,Junga,"{""type"":""Point"",""coordinates"":[30.1557365,-4.5027797,0]}",39847
PS0603110,Bitale Maalum,"{""type"":""Point"",""coordinates"":[29.7021697,-4.7483854,0]}",39910
PS0606008,Ilela,"{""type"":""Point"",""coordinates"":[30.91892129,-3.32037859,0]}",40135
PS0601069,Rusesa,"{""type"":""Point"",""coordinates"":[30.0160603,-4.8195395,0]}",40244
PS0601035,Makingi,"{""type"":""Point"",""coordinates"":[30.0158103,-4.8199459,0]}",40244
PS0608033,Mugandazi,"{""type"":""Point"",""coordinates"":[30.1395936,-4.5966368,0]}",40395
PS0605012,Gwimbogo,"{""type"":""Point"",""coordinates"":[29.81595861,-4.4756016,0]}",40464
PS0603007,Bugugo,"{""type"":""Point"",""coordinates"":[29.74689359,-4.64415224,0]}",41257
PS0603015,Kabanga,"{""type"":""Point"",""coordinates"":[29.73441535,-4.80050235,0]}",41423
PS0608060,Tumaini,"{""type"":""Point"",""coordinates"":[30.13082396,-4.68182082,0]}",41647
PS0603043,Matyazo,"{""type"":""Point"",""coordinates"":[29.74743146,-4.64364816,0]}",41820
PS0608041,Mwibuye,"{""type"":""Point"",""coordinates"":[30.04941281,-4.49203307,0]}",42122
PS0603013,Gombe,"{""type"":""Point"",""coordinates"":[29.7428083,-4.6063407,0]}",42458
PS0603031,Kisozi,"{""type"":""Point"",""coordinates"":[29.7420842,-4.6063387,0]}",42469
PS0603094,Kaseke,"{""type"":""Point"",""coordinates"":[29.78401722,-4.98986563,0]}",42470
PS0608046,Nyakabondo,"{""type"":""Point"",""coordinates"":[30.2181755,-4.5126558,0]}",42621
PS0603105,Kasaka,"{""type"":""Point"",""coordinates"":[29.69622347,-4.85956347,0]}",42650
PS0605034,Kishanga,"{""type"":""Point"",""coordinates"":[29.8682765,-4.7365667,0]}",42677
PS0608029,Msambara,"{""type"":""Point"",""coordinates"":[30.16345997,-4.47874949,0]}",42681
PS0608012,Kanazi,"{""type"":""Point"",""coordinates"":[30.214469,-4.50102489,0]}",42692
PS0608016,Katwalo,"{""type"":""Point"",""coordinates"":[30.1641323,-4.4784092,0]}",42693
PS0608055,Ruchugi,"{""type"":""Point"",""coordinates"":[30.16365789,-4.4787304,0]}",42693
PS0603010,Bweru,"{""type"":""Point"",""coordinates"":[29.690522,-4.757303,0]}",42725
PS0601039,Mugombe,"{""type"":""Point"",""coordinates"":[30.2937949,-4.4500217,0]}",42761
PS0605005,Buhigwe,"{""type"":""Point"",""coordinates"":[29.92559968,-4.45264585,0]}",42863
PS0601065,Nyaruhande,"{""type"":""Point"",""coordinates"":[30.0662588,-4.6650728,0]}",43013
PS0605016,Kalege,"{""type"":""Point"",""coordinates"":[30.0807718,-4.3289594,0]}",43049
PS0605073,Nyamti,"{""type"":""Point"",""coordinates"":[29.91835548,-4.44640613,0]}",43137
PS0603074,Nyampemba,"{""type"":""Point"",""coordinates"":[29.67340117,-4.76467758,0]}",43151
PS0605065,Nyaguma,"{""type"":""Point"",""coordinates"":[29.9766782,-4.3688018,0]}",43227
PS0605074,Nyamugali,"{""type"":""Point"",""coordinates"":[29.9762328,-4.3689351,0]}",43287
PS0605052,Mulera,"{""type"":""Point"",""coordinates"":[29.9186058,-4.4463522,0]}",43308
PS0605076,Nyanga,"{""type"":""Point"",""coordinates"":[30.0720451,-4.3265481,0]}",43326
PS0601004,Bugaga,"{""type"":""Point"",""coordinates"":[30.0659748,-4.6651195,0]}",43329
PS0605061,Muyama,"{""type"":""Point"",""coordinates"":[30.0726717,-4.3374208,0]}",43373
PS0608039,Mwenda,"{""type"":""Point"",""coordinates"":[30.14327223,-4.66199123,0]}",43599
PS0601038,Mlole,"{""type"":""Point"",""coordinates"":[29.9719058,-4.8325188,0]}",43801
PS0601044,Muzye,"{""type"":""Point"",""coordinates"":[30.0656281,-4.6652717,0]}",43810
PS0608003,Bwami,"{""type"":""Point"",""coordinates"":[30.0481154,-4.5317967,0]}",43810
PS0605056,Munzeze,"{""type"":""Point"",""coordinates"":[29.8740304,-4.7231735,0]}",43827
PS0608059,Tulieni,"{""type"":""Point"",""coordinates"":[30.0482882,-4.5318184,0]}",43834
